mc,uc,nratings,nusers,nmvie,modelsz,L22sz,nv,fittime,mnevtm
1,20,32000204,200948,84432,29.44327,26.557024,30,10737.595,357.91983
1,40,30433400,144848,84205,29.153605,26.414417,35,12415.587,354.73105
1,80,27569316,94380,83897,28.701399,26.221539,30,10559.33,351.97766
2,20,31981597,200948,65825,19.02542,16.14167,39,8001.6514,205.17055
2,40,30415014,144848,65819,18.875448,16.138727,33,6802.0166,206.12172
2,80,27551218,94380,65799,18.606354,16.128922,31,6455.4985,208.24188
5,20,31921467,200948,43884,10.051532,7.174348,32,3378.6008,105.581276
5,40,30355623,144848,43884,9.904569,7.174348,40,4119.116,102.977905
5,80,27492886,94380,43884,9.645377,7.174348,32,3287.7175,102.74117
10,20,31842705,200948,31961,6.6743393,3.8055236,33,2448.779,74.20543
10,40,30277758,144848,31961,6.5274568,3.8055236,37,2779.2795,75.11566
10,80,27416310,94380,31961,6.26838,3.8055236,39,2850.0525,73.07827
15,20,31777786,200948,26428,5.464647,2.6019871,35,2293.553,65.53008
15,40,30213583,144848,26428,5.317831,2.6019871,30,1971.5044,65.71681
15,80,27353366,94380,26428,5.058864,2.6019871,30,1994.7733,66.49245
20,20,31725920,200948,23350,4.889084,2.0311992,34,2139.5784,62.928776
20,40,30162330,144848,23350,4.742323,2.0311992,33,2071.762,62.780666
20,80,27303019,94380,23350,4.483437,2.0311992,33,2072.7954,62.81198
50,20,31498689,200947,16034,3.7946362,0.9577915,51,2703.9163,53.017967
50,40,29938038,144848,16034,3.648138,0.9577915,37,1944.0015,52.54058
50,80,27083536,94380,16034,3.3896825,0.9577915,36,1868.4633,51.901756
